ID,income,happiness
1,3.862647418,2.314488983
2,4.979381382,3.433489759
3,4.923956936,4.599373404
4,3.214372439,2.791113803
5,7.196409251,5.596398273
6,3.729643479,2.458555872
7,4.674517389,3.192991809
8,4.498103821,1.907136833
9,3.121630526,2.942449872
10,4.639914435,3.737941605
11,4.632839514,3.175406147
12,2.773178895,2.009046461
13,7.119478595,5.951814099
14,7.466653196,5.960547308
15,2.117742331,1.445798858
16,2.55916582,2.898583142
17,2.35479322,1.231167524
18,2.388157248,2.312988055
19,4.755680274,2.666116035
20,1.994275047,2.584729022
21,7.310916026,5.747444104
22,3.528318956,2.546524587
23,2.428751675,1.200785525
24,3.542747875,3.078293381
25,5.227201239,4.317760919
26,6.69199314,5.381478737
27,3.900409939,3.565224319
28,2.291055478,0.953412996
29,2.380512706,2.169161261
30,2.549608776,2.060794311
31,6.933295827,6.299101259
32,1.855645173,1.590355862
33,3.589023138,2.250929414
34,6.826477911,5.9142477
35,2.070601883,2.191833702
36,5.224205274,5.767814366
37,2.24311363,0.97288292
38,7.076166367,5.010577427
39,4.190672496,2.239664992
40,1.95648612,1.927578829
41,5.061758185,3.35807157
42,3.982189934,2.400087291
43,3.06505862,3.407980039
44,3.68287749,2.576176307
45,3.789429291,2.473079377
46,5.358715665,3.752659492
47,5.196119777,4.087631183
48,5.241189571,3.543203654
49,7.101619593,5.34835294
50,3.424021093,3.056376653
51,2.253399021,1.558422563
52,5.370336904,3.225132752
53,6.225606,5.034231009
54,5.482862234,3.857424259
55,4.034172109,3.61905549
56,6.510218719,4.004537739
57,6.029213862,4.802091807
58,6.949112894,4.658890392
59,7.195037289,5.231702968
60,2.757338498,2.480606467
61,6.956079482,5.498147193
62,4.670192578,4.550636958
63,6.368292668,3.570013567
64,6.166681166,4.719665333
65,6.074158292,4.503108168
66,5.484718965,5.046081775
67,1.589574738,0.669715948
68,1.680473928,1.606072357
69,5.499947957,4.826602696
70,4.043890903,2.208240516
71,5.005093241,4.056493099
72,4.863581726,3.567905233
73,1.506275045,1.308487263
74,2.864663845,4.1596093
75,5.877906294,4.633915057
76,6.483983789,5.068747881
77,4.938036592,3.040797294
78,5.625434421,3.804298861
79,7.228265215,5.034003785
80,5.337460294,3.703437932
81,2.82582659,2.188938121
82,5.931366673,5.538047529
83,3.520255202,3.583875162
84,3.239940593,3.09688561
85,3.498386369,2.200982172
86,7.186112258,5.151598289
87,4.719166072,5.950986328
88,3.594801958,2.968187102
89,3.233942432,2.399561326
90,1.514153223,0.859499052
91,4.002537064,1.775932552
92,6.19810376,4.661261209
93,2.280650861,0.727221191
94,2.189865512,0.771286567
95,3.434151134,3.348788206
96,5.932269677,3.966215411
97,5.307839437,2.890447416
98,5.664344909,3.773260652
99,7.439247611,6.359600004
100,2.134702147,0.268722097
101,6.501274722,4.374832318
102,3.651183174,2.155843323
103,2.286495392,1.89355686
104,4.748859137,4.902991575
105,5.459160761,4.833506427
106,3.433064765,3.172299463
107,7.176399653,5.029951665
108,5.506395117,4.261013003
109,3.097615732,1.67239058
110,4.647555992,1.497024128
111,1.828306344,1.265488916
112,3.534566235,2.667465435
113,4.60617584,1.999325527
114,5.361503134,5.231863313
115,6.879333037,5.21140132
116,4.317032306,3.661656456
117,3.38316358,1.415034656
118,4.932207232,4.933044092
119,4.935596519,4.130778265
120,2.601553311,2.282266934
121,5.711263543,3.901170334
122,6.117530552,4.691998851
123,3.771415149,3.577800675
124,7.11722011,5.562545475
125,2.194881851,2.39322812
126,5.952001916,3.56472374
127,3.922302763,2.253721516
128,7.081589058,4.121647747
129,6.950744997,4.169100759
